GEOID,NAME,Median_age,Total_population,Median_income,Renters_occupied_percentage,Bachelors_percentage,Highschool_graduate_percentage,Below_highschool_percentage,White_alone_percentage,Black_or_African_American_percentage,Hispanic_or_Latino_percentage,American_Indian_and_Alaska_Native_percentage,Asian_percentage,Native_Hawaiian_and_other_Pacific_Island_percentage,Some_other_race_alone_percentage,Two_or_more_races_percentage,White_alone_not_hispanic_or_latino_percentage,Male_female_ratio,Areaname,popul_density
1001,"Autauga County, Alabama",38.6,55639,57982,24.225865209471767,11.358938873811535,21.351929402038138,7.679864843005806,75.7562141663222,19.529466740955083,2.877478028001941,0.27858157048113735,1.1664479951113427,0.04313521091320836,0.6721903700641636,2.5539639461528783,2.877478028001941,0.9463042641760241,"Autauga, AL",93.59901756274813
1003,"Baldwin County, Alabama",43.2,218289,61756,21.009158846996684,14.404756996458822,19.3651535349926,6.79053914764372,85.43902807745695,8.774148033112066,4.556803137125554,0.693575947482466,0.9313341487660853,0.004581082876370316,1.5566519613906336,2.6006807489154284,4.556803137125554,0.9420729537366548,"Baldwin, AL",137.30767779189574
1005,"Barbour County, Alabama",40.1,25026,34990,37.13097523078329,5.178614241189163,25.417565731639097,17.96931191560777,46.29984815791577,47.66642691600735,4.4353871973147925,0.35163430032765924,0.48749300727243666,0.003995844321905219,3.104771038120355,2.085830736034524,4.4353871973147925,1.1083403538331928,"Barbour, AL",28.281800922158936
1007,"Bibb County, Alabama",39.9,22374,51721,22.36971003134796,5.287387145794225,32.207026012335746,13.658711003843745,76.59783677482793,22.548493787431838,2.681684097613301,0.053633681952266025,0.25029051577724143,0,0.04022526146419952,0.5095199785465273,2.681684097613301,1.161321483771252,"Bibb, AL",35.93755019435253
1009,"Blount County, Alabama",41,57755,48922,20.286219081272087,6.129339451129772,24.197039217383775,11.839667561250108,93.967621850922,1.3990130724612586,9.284044671457018,0.09522985022941736,0.4086226300753181,0.09522985022941736,1.7955155397801057,2.2387672063024846,9.284044671457018,0.9862095054680514,"Blount, AL",89.5731877539626
1011,"Bullock County, Alabama",39.7,10173,33866,31.956745623069,4.059766047380321,27.61230708738818,16.710901405681707,26.17713555490023,68.61299518332842,8.099872210753958,0,1.3467020544578787,0,3.1259215570628136,0.7372456502506636,8.099872210753958,1.2139281828073993,"Bullock, AL",16.334034456736404
1013,"Butler County, Alabama",41.2,19726,44850,27.82060631315762,7.076954273547602,32.57122579336916,9.560985501368751,51.622224475311775,44.58582581364696,1.4701409307512927,0.3345837980330528,1.3231268376761636,0,0.49680624556423,1.6374328297678191,1.4701409307512927,0.847695766204571,"Butler, AL",25.392943114967238
1015,"Calhoun County, Alabama",39.5,114324,50128,29.41727443027845,7.256569049368461,23.79465379098002,10.310171092683952,73.30131905811554,21.15916168083692,3.85395892376054,0.31314509639270843,0.8091039501766909,0.28602918022462476,1.6365767467898256,2.4946642874636997,3.85395892376054,0.9246788666475867,"Calhoun, AL",188.6939442454652
1017,"Chambers County, Alabama",41.9,33427,43875,31.87154271665642,7.452059712208693,26.412780087952854,12.385197594758727,56.88515272085441,40.00358991234631,2.5219134232805818,0.24231908337571423,1.1009064528674424,0.026924342597301584,0.7897807161875131,0.9513267717713226,2.5219134232805818,0.9102234413395052,"Chambers, AL",56.03574002983924
1019,"Cherokee County, Alabama",46.8,26035,42509,18.89115432873275,4.616861916650663,28.78816977146149,12.629153063184177,92.06836950259266,4.801229114653351,1.6593047820241982,0.5761474937584021,0.0998655655847897,0,0.8142884578452084,1.640099865565585,1.6593047820241982,0.9783434650455927,"Cherokee, AL",47.02004695683583
